week,keyword,count,avg_risk,trend
2023-W27,外匯保證金,62,0,stable
2023-W27,比特幣詐騙,74,0,stable
2023-W27,NFT投資,61,0,stable
2023-W27,黃金投資,66,0,stable
2023-W27,股票群組,84,0,stable
2023-W27,假網拍,15,0,stable
2023-W27,直播購物詐騙,14,0,stable
2023-W27,旋轉拍賣,14,0,stable
2023-W27,海外代購詐騙,14,0,stable
2023-W27,蝦皮詐騙,16,0,stable
2023-W27,貨到付款詐騙,12,0,stable
2023-W27,超商取貨詐騙,14,0,stable
2023-W27,網購詐騙,14,0,stable
2023-W27,臉書市集,12,0,stable
2023-W27,ATM解除,9,0,stable
2023-W27,重複扣款,9,0,stable
2023-W27,客服詐騙,9,0,stable
2023-W27,帳戶異常,7,0,stable
2023-W27,退款詐騙,8,0,stable
2023-W27,系統錯誤,8,0,stable
2023-W27,操作失誤,9,0,stable
2023-W27,誤設分期,8,0,stable
2023-W27,網戀詐騙,7,0,stable
2023-W27,軍人身份詐騙,6,0,stable
2023-W27,探探詐騙,5,0,stable
2023-W27,視訊詐騙,6,0,stable
2023-W27,假交友,7,0,stable
2023-W27,交友平台詐騙,5,0,stable
2023-W27,徵婚詐騙,6,0,stable
2023-W27,殺豬盤,6,0,stable
2023-W27,Tinder詐騙,7,0,stable
2023-W27,見面費用,6,0,stable
2023-W27,金融犯罪,5,0,stable
2023-W27,安全帳戶,5,0,stable
2023-W27,凍結帳戶,6,0,stable
2023-W27,地檢署,5,0,stable
2023-W27,假檢警,5,0,stable
2023-W27,警察詐騙,6,0,stable
2023-W27,假法官,5,0,stable
2023-W27,洗錢防制,5,0,stable
2023-W27,最高法院,5,0,stable
2023-W27,涉案通知,5,0,stable
2023-W27,民間借貸,5,0,stable
2023-W27,房貸詐騙,5,0,stable
2023-W27,快速放款,6,0,stable
2023-W27,貸款保證金,6,0,stable
2023-W27,保證核貸,5,0,stable
2023-W27,信用貸款,6,0,stable
2023-W27,高薪工作,5,0,stable
2023-W27,海外工作詐騙,5,0,stable
2023-W27,保證金詐騙,5,0,stable
2023-W27,刷單詐騙,5,0,stable
2023-W27,在家工作,5,0,stable
2023-W27,打字員詐騙,5,0,stable
2023-W27,培訓費詐騙,5,0,stable
2023-W27,抖音詐騙,5,0,stable
2023-W27,AI投資詐騙,5,0,stable
2023-W27,直播詐騙,5,0,stable
2023-W27,簡訊詐騙,5,0,stable
2023-W27,元宇宙詐騙,5,0,stable
2023-W27,防疫補助,5,0,stable
2023-W27,ChatGPT詐騙,5,0,stable
2023-W28,代操,28,0,stable
2023-W28,元宇宙投資,34,0,stable
2023-W28,投資專家,39,0,stable
2023-W28,虛擬貨幣詐騙,40,0,stable
2023-W28,比特幣詐騙,35,0,stable
2023-W28,保證獲利,30,0,stable
2023-W28,高報酬投資,37,0,stable
2023-W28,投資群組,36,0,stable
2023-W28,投資詐財,44,0,stable
2023-W28,NFT投資,28,0,stable
2023-W28,蝦皮詐騙,16,0,stable
2023-W28,貨到付款詐騙,13,0,stable
2023-W28,私下交易,14,0,stable
2023-W28,假網拍,16,0,stable
2023-W28,旋轉拍賣,16,0,stable
2023-W28,LINE購物詐騙,14,0,stable
2023-W28,超商取貨詐騙,18,0,stable
2023-W28,IG購物,18,0,stable
2023-W28,ATM解除,10,0,stable
2023-W28,系統錯誤,8,0,stable
2023-W28,客服詐騙,8,0,stable
2023-W28,訂單異常,9,0,stable
2023-W28,金融卡錯誤,10,0,stable
2023-W28,解除分期,10,0,stable
2023-W28,操作失誤,10,0,stable
2023-W28,外國人交友,14,0,stable
2023-W28,探探詐騙,14,0,stable
2023-W28,愛情詐騙,13,0,stable
2023-W28,感情詐騙,11,0,stable
2023-W28,監管帳戶,6,0,stable
2023-W28,假檢警,5,0,stable
2023-W28,安全帳戶,5,0,stable
2023-W28,刑事局,6,0,stable
2023-W28,警察詐騙,5,0,stable
2023-W28,法院傳票,5,0,stable
2023-W28,洗錢防制,5,0,stable
2023-W28,凍結帳戶,6,0,stable
2023-W28,地檢署,5,0,stable
2023-W28,民間借貸,5,0,stable
2023-W28,學貸詐騙,5,0,stable
2023-W28,信用貸款,5,0,stable
2023-W28,車貸詐騙,5,0,stable
2023-W28,代辦貸款,5,0,stable
2023-W28,證件借款,5,0,stable
2023-W28,房貸詐騙,5,0,stable
2023-W28,貸款詐騙,5,0,stable
2023-W28,博弈客服,5,0,stable
2023-W28,打字員詐騙,5,0,stable
2023-W28,網拍小幫手,5,0,stable
2023-W28,高薪工作,5,0,stable
2023-W28,倉儲人員,5,0,stable
2023-W28,保證金詐騙,5,0,stable
2023-W28,度假打工詐騙,5,0,stable
2023-W28,海外工作詐騙,5,0,stable
2023-W28,包裝員,5,0,stable
2023-W28,家庭代工,5,0,stable
2023-W28,退稅詐騙,5,0,stable
2023-W28,簡訊詐騙,5,0,stable
2023-W28,釣魚網站,5,0,stable
2023-W28,防疫補助,5,0,stable
2023-W28,小紅書代購,5,0,stable
2023-W28,假疫苗,5,0,stable
2023-W29,外匯保證金,64,0,stable
2023-W29,投資詐財,57,0,stable
2023-W29,元宇宙投資,59,0,stable
2023-W29,高報酬投資,68,0,stable
2023-W29,投資理財,62,0,stable
2023-W29,穩賺不賠,62,0,stable
2023-W29,旋轉拍賣,26,0,stable
2023-W29,露天詐騙,19,0,stable
2023-W29,假賣家,26,0,stable
